Agency,Cntyfip,Circumstance,MSA,Number of Records,Solved,Source,State,Vic Age,Vic Race,Vic Sex,Weapon,Year
Prince George's County Police Department,"Prince George's, MD",Narcotic drug laws,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,24,Black,Male,"Personal weapons, includes beating",1989
Prince George's County Police Department,"Prince George's, MD",Other,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,22,Black,Male,Rifle,1991
Prince George's County Police Department,"Prince George's, MD",Other,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,24,Black,Male,Rifle,1991
Prince George's County Police Department,"Prince George's, MD",Robbery,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,Rifle,1989
Prince George's County Police Department,"Prince George's, MD",Robbery,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,22,Black,Male,Rifle,1989
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,29,Black,Male,"Handgun - pistol, revolver, etc",1995
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,48,Black,Male,"Handgun - pistol, revolver, etc",1995
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,18,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,19,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,26,Black,Male,"Handgun - pistol, revolver, etc",2004
Prince George's County Police Department,"Prince George's, MD",Circumstances undetermined,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1,No,FBI,Maryland,28,Black,Male,"Handgun - pistol, revolver, etc",2004
